date,confirmed_cases,deaths,stringency_index
1/1/2020,0.0,0.0,0.0
1/2/2020,0.0,0.0,0.0
1/3/2020,0.0,0.0,0.0
1/4/2020,0.0,0.0,0.0
1/5/2020,0.0,0.0,0.0
1/6/2020,0.0,0.0,0.0
1/7/2020,0.0,0.0,2.78
1/8/2020,0.0,0.0,2.78
1/9/2020,0.0,0.0,2.78
1/10/2020,0.0,0.0,2.78
1/11/2020,0.0,0.0,2.78
1/12/2020,0.0,0.0,2.78
1/13/2020,0.0,0.0,2.78
1/14/2020,0.0,0.0,2.78
1/15/2020,1.0,0.0,2.78
1/16/2020,1.0,0.0,2.78
1/17/2020,1.0,0.0,2.78
1/18/2020,1.0,0.0,2.78
1/19/2020,1.0,0.0,2.78
1/20/2020,1.0,0.0,2.78
1/21/2020,1.0,0.0,2.78
1/22/2020,1.0,0.0,2.78
1/23/2020,1.0,0.0,2.78
1/24/2020,2.0,0.0,2.78
1/25/2020,2.0,0.0,2.78
1/26/2020,3.0,0.0,2.78
1/27/2020,3.0,0.0,2.78
1/28/2020,4.0,0.0,2.78
1/29/2020,7.0,0.0,2.78
1/30/2020,11.0,0.0,2.78
1/31/2020,14.0,0.0,2.78
2/1/2020,15.0,0.0,8.33
2/2/2020,19.0,0.0,8.33
2/3/2020,20.0,0.0,8.33
2/4/2020,20.0,0.0,19.44
2/5/2020,25.0,0.0,19.44
2/6/2020,25.0,0.0,19.44
2/7/2020,25.0,0.0,19.44
2/8/2020,25.0,0.0,19.44
2/9/2020,25.0,0.0,19.44
2/10/2020,25.0,0.0,19.44
2/11/2020,25.0,0.0,19.44
2/12/2020,25.0,0.0,19.44
2/13/2020,29.0,1.0,19.44
2/14/2020,30.0,1.0,19.44
2/15/2020,38.0,1.0,19.44
2/16/2020,52.0,1.0,19.44
2/17/2020,59.0,1.0,19.44
2/18/2020,59.0,1.0,19.44
2/19/2020,66.0,1.0,19.44
2/20/2020,84.0,1.0,25.0
2/21/2020,93.0,1.0,25.0
2/22/2020,105.0,1.0,25.0
2/23/2020,132.0,1.0,25.0
2/24/2020,144.0,1.0,25.0
2/25/2020,144.0,1.0,34.26
2/26/2020,164.0,1.0,34.26
2/27/2020,186.0,3.0,34.26
2/28/2020,210.0,3.0,34.26
2/29/2020,230.0,3.0,34.26
3/1/2020,239.0,5.0,34.26
3/2/2020,254.0,6.0,43.52
3/3/2020,254.0,6.0,43.52
3/4/2020,268.0,6.0,43.52
3/5/2020,317.0,6.0,43.52
3/6/2020,349.0,6.0,43.52
3/7/2020,408.0,6.0,43.52
3/8/2020,455.0,6.0,43.52
3/9/2020,488.0,7.0,40.74
3/10/2020,514.0,9.0,40.74
3/11/2020,568.0,12.0,40.74
3/12/2020,619.0,15.0,40.74
3/13/2020,675.0,19.0,40.74
3/14/2020,737.0,21.0,40.74
3/15/2020,780.0,22.0,40.74
3/16/2020,814.0,24.0,40.74
3/17/2020,824.0,28.0,40.74
3/18/2020,829.0,28.0,40.74
3/19/2020,873.0,29.0,40.74
3/20/2020,950.0,33.0,40.74
3/21/2020,1007.0,35.0,40.74
