date,country_code,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2/15/2020,JP,-0.79,6.12,-1.42,4.27,0.08
2/16/2020,JP,-7.25,-15.93,-5.31,-0.63,1.19
2/17/2020,JP,-2.65,-2.0,0.02,0.18,0.36
2/18/2020,JP,-1.21,-0.65,-0.49,-0.1,0.28
2/19/2020,JP,0.75,2.08,-0.03,0.05,0.04
2/20/2020,JP,2.46,1.07,0.07,0.08,0.05
2/21/2020,JP,-0.88,1.2,0.13,0.08,0.08
2/22/2020,JP,-3.04,-1.21,-0.05,-0.16,0.19
2/23/2020,JP,2.19,1.72,0.88,0.04,-0.02
2/24/2020,JP,23.25,5.96,-0.24,-5.33,1.35
2/25/2020,JP,-0.1,-0.01,-0.01,0.08,0.04
2/26/2020,JP,-0.94,0.14,-0.24,0.08,0.06
2/27/2020,JP,-0.65,-0.04,-0.42,0.05,0.09
2/28/2020,JP,-0.65,-0.25,-0.89,0.09,0.13
2/29/2020,JP,-8.06,-1.7,-1.73,0.31,0.25
3/1/2020,JP,-8.42,-0.46,-1.61,0.18,0.22
3/2/2020,JP,-6.19,-0.46,-1.06,-0.03,0.18
3/3/2020,JP,-2.04,0.46,-1.0,-0.08,0.16
3/4/2020,JP,-8.38,-0.77,-1.1,-0.15,0.23
3/5/2020,JP,-6.29,-0.37,-1.0,-0.13,0.2
3/6/2020,JP,-7.71,0.26,-0.98,-0.13,0.2
3/7/2020,JP,-10.27,-0.27,-1.2,-0.1,0.22
3/8/2020,JP,-12.35,-1.0,-1.31,-0.17,0.23
3/9/2020,JP,-5.56,0.55,-0.68,-0.08,0.14
3/10/2020,JP,-6.69,-0.92,-0.84,-0.16,0.2
3/11/2020,JP,-1.15,0.4,-0.64,-0.13,0.13
3/12/2020,JP,0.21,0.74,-0.55,-0.12,0.11
3/13/2020,JP,-3.17,0.33,-0.67,-0.12,0.14
3/14/2020,JP,-8.15,-0.96,-0.94,-0.22,0.19
3/15/2020,JP,-5.94,0.2,-0.73,-0.07,0.12
3/16/2020,JP,-4.9,-0.22,-0.54,-0.07,0.11
3/17/2020,JP,-0.9,0.42,-0.48,-0.09,0.1
3/18/2020,JP,-0.17,0.68,-0.39,-0.08,0.08
3/19/2020,JP,7.46,0.62,-0.22,-0.1,0.04
3/20/2020,JP,13.83,1.19,-0.53,-1.5,0.46
3/21/2020,JP,-3.29,1.0,-0.27,-0.18,0.09
3/22/2020,JP,-7.17,0.17,-0.4,-0.06,0.08
3/23/2020,JP,-1.19,0.41,-0.3,-0.06,0.07
3/24/2020,JP,1.0,0.36,-0.33,-0.08,0.08
3/25/2020,JP,5.08,0.82,-0.23,-0.09,0.05
3/26/2020,JP,3.19,0.64,-0.27,-0.1,0.07
3/27/2020,JP,-5.6,-0.26,-0.47,-0.13,0.12
3/28/2020,JP,-10.88,-0.49,-0.66,-0.13,0.13
