,country_name,date,confirmed_cases,deaths,stringency_index,workplace_closing
580,United Kingdom,2020-09-18,,,62.5,
581,United Kingdom,2020-09-19,,,62.5,
582,United Kingdom,2020-09-20,,,62.5,
583,United Kingdom,2020-08-27,288701.0,36828.0,,
584,United Kingdom,2020-08-28,290079.0,36837.0,,
585,United Kingdom,2020-08-29,291114.0,36849.0,,
586,United Kingdom,2020-08-30,292082.0,36850.0,,
587,United Kingdom,2020-08-31,293335.0,36852.0,,
588,United Kingdom,2020-09-01,295248.0,36854.0,,
589,United Kingdom,2020-09-02,297857.0,36861.0,,
590,United Kingdom,2020-09-03,300510.0,36872.0,,
591,United Kingdom,2020-09-04,303051.0,36881.0,,
592,United Kingdom,2020-09-05,305179.0,36892.0,,
593,United Kingdom,2020-09-06,307212.0,36894.0,,
594,United Kingdom,2020-09-07,310586.0,36896.0,,
595,United Kingdom,2020-09-08,313258.0,36923.0,,
596,United Kingdom,2020-09-09,315529.0,36931.0,,
597,United Kingdom,2020-09-10,317565.0,36944.0,,
598,United Kingdom,2020-09-11,318097.0,36950.0,,
599,United Kingdom,2020-09-12,318121.0,36959.0,,
600,United Kingdom,2020-09-13,,36964.0,,
601,United Kingdom,2020-09-14,,,,
602,United Kingdom,2020-09-15,,,,
603,United Kingdom,2020-09-16,,,,
604,United Kingdom,2020-09-17,,,,
605,United Kingdom,2020-09-18,,,,
606,United Kingdom,2020-09-19,,,,
607,United Kingdom,2020-09-20,,,,
608,United Kingdom,2020-08-25,6883.0,559.0,,
609,United Kingdom,2020-08-26,6953.0,559.0,,
610,United Kingdom,2020-08-27,7036.0,560.0,,
611,United Kingdom,2020-08-28,7126.0,560.0,,
612,United Kingdom,2020-08-29,7171.0,560.0,,
613,United Kingdom,2020-08-30,7209.0,560.0,,
614,United Kingdom,2020-08-31,7265.0,560.0,,
615,United Kingdom,2020-09-01,7336.0,560.0,,
616,United Kingdom,2020-09-02,7431.0,562.0,,
617,United Kingdom,2020-09-03,7546.0,563.0,,
618,United Kingdom,2020-09-04,7684.0,564.0,,
619,United Kingdom,2020-09-05,7778.0,564.0,,
620,United Kingdom,2020-09-06,7888.0,564.0,,
621,United Kingdom,2020-09-07,7966.0,565.0,,
622,United Kingdom,2020-09-08,8020.0,567.0,,
623,United Kingdom,2020-09-09,8104.0,567.0,,
624,United Kingdom,2020-09-10,8123.0,568.0,,
625,United Kingdom,2020-09-11,,568.0,,
626,United Kingdom,2020-09-12,,568.0,,
627,United Kingdom,2020-09-13,,568.0,,
628,United Kingdom,2020-09-14,,,,
629,United Kingdom,2020-09-15,,,,
630,United Kingdom,2020-09-16,,,,
631,United Kingdom,2020-09-17,,,,
632,United Kingdom,2020-09-18,,,,
633,United Kingdom,2020-09-19,,,,
634,United Kingdom,2020-09-20,,,,
635,United Kingdom,2020-08-27,20324.0,2494.0,,
636,United Kingdom,2020-08-28,20429.0,2494.0,,
637,United Kingdom,2020-08-29,20523.0,2494.0,,
638,United Kingdom,2020-08-30,20625.0,2494.0,,
639,United Kingdom,2020-08-31,20768.0,2494.0,,
640,United Kingdom,2020-09-01,20967.0,2494.0,,
641,United Kingdom,2020-09-02,21158.0,2495.0,,
642,United Kingdom,2020-09-03,21359.0,2496.0,,
643,United Kingdom,2020-09-04,21524.0,2496.0,,
644,United Kingdom,2020-09-05,21662.0,2496.0,,
645,United Kingdom,2020-09-06,21811.0,2496.0,,
646,United Kingdom,2020-09-07,21974.0,2496.0,,
647,United Kingdom,2020-09-08,22065.0,2499.0,,
648,United Kingdom,2020-09-09,22278.0,2499.0,,
649,United Kingdom,2020-09-10,22498.0,2499.0,,
650,United Kingdom,2020-09-11,22670.0,2499.0,,
651,United Kingdom,2020-09-12,22678.0,2499.0,,
652,United Kingdom,2020-09-13,,2499.0,,
653,United Kingdom,2020-09-14,,,,
654,United Kingdom,2020-09-15,,,,
655,United Kingdom,2020-09-16,,,,
656,United Kingdom,2020-09-17,,,,
657,United Kingdom,2020-09-18,,,,
658,United Kingdom,2020-09-19,,,,
659,United Kingdom,2020-09-20,,,,
660,United Kingdom,2020-08-27,17975.0,1595.0,,
661,United Kingdom,2020-08-28,18027.0,1595.0,,
662,United Kingdom,2020-08-29,18071.0,1595.0,,
663,United Kingdom,2020-08-30,18117.0,1595.0,,
664,United Kingdom,2020-08-31,18161.0,1595.0,,
665,United Kingdom,2020-09-01,18218.0,1596.0,,
666,United Kingdom,2020-09-02,18313.0,1596.0,,
667,United Kingdom,2020-09-03,18438.0,1596.0,,
668,United Kingdom,2020-09-04,18587.0,1596.0,,
669,United Kingdom,2020-09-05,18713.0,1597.0,,
670,United Kingdom,2020-09-06,18844.0,1597.0,,
671,United Kingdom,2020-09-07,19002.0,1597.0,,
672,United Kingdom,2020-09-08,19119.0,1597.0,,
673,United Kingdom,2020-09-09,19239.0,1597.0,,
674,United Kingdom,2020-09-10,19367.0,1597.0,,
675,United Kingdom,2020-09-11,19390.0,1597.0,,
676,United Kingdom,2020-09-12,,1597.0,,
677,United Kingdom,2020-09-13,,1597.0,,
678,United Kingdom,2020-09-14,,,,
679,United Kingdom,2020-09-15,,,,
680,United Kingdom,2020-09-16,,,,
681,United Kingdom,2020-09-17,,,,
682,United Kingdom,2020-09-18,,,,
683,United Kingdom,2020-09-19,,,,
684,United Kingdom,2020-09-20,,,,
2985,United Kingdom,2020-08-27,328846.0,41465.0,64.35,2.0
2986,United Kingdom,2020-08-28,330368.0,41477.0,64.35,2.0
2987,United Kingdom,2020-08-29,331644.0,41486.0,64.35,2.0
2988,United Kingdom,2020-08-30,332752.0,41498.0,64.35,2.0
2989,United Kingdom,2020-08-31,334467.0,41499.0,64.35,2.0
2990,United Kingdom,2020-09-01,335873.0,41501.0,62.5,2.0
2991,United Kingdom,2020-09-02,337168.0,41504.0,62.5,2.0
2992,United Kingdom,2020-09-03,338676.0,41514.0,62.5,2.0
2993,United Kingdom,2020-09-04,340411.0,41527.0,62.5,2.0
2994,United Kingdom,2020-09-05,342351.0,41537.0,62.5,2.0
2995,United Kingdom,2020-09-06,344164.0,41549.0,62.5,2.0
2996,United Kingdom,2020-09-07,347152.0,41551.0,62.5,2.0
2997,United Kingdom,2020-09-08,350100.0,41554.0,62.5,2.0
2998,United Kingdom,2020-09-09,352560.0,41586.0,62.5,2.0
2999,United Kingdom,2020-09-10,355219.0,41594.0,62.5,2.0
3000,United Kingdom,2020-09-11,358138.0,41608.0,62.5,2.0
3001,United Kingdom,2020-09-12,361677.0,41614.0,62.5,2.0
3002,United Kingdom,2020-09-13,365174.0,41623.0,62.5,2.0
3003,United Kingdom,2020-09-14,,,62.5,2.0
3004,United Kingdom,2020-09-15,,,62.5,2.0
3005,United Kingdom,2020-09-16,,,62.5,2.0
3006,United Kingdom,2020-09-17,,,62.5,2.0
6654,United Kingdom,2020-01-01,0.0,0.0,0.0,0.0
6655,United Kingdom,2020-01-02,0.0,0.0,0.0,0.0
6656,United Kingdom,2020-01-03,0.0,0.0,0.0,0.0
6657,United Kingdom,2020-01-04,0.0,0.0,0.0,0.0
6658,United Kingdom,2020-01-05,0.0,0.0,0.0,0.0
6659,United Kingdom,2020-01-06,0.0,0.0,0.0,0.0
6660,United Kingdom,2020-01-07,0.0,0.0,0.0,0.0
6661,United Kingdom,2020-01-08,0.0,0.0,0.0,0.0
6662,United Kingdom,2020-01-09,0.0,0.0,0.0,0.0
6663,United Kingdom,2020-01-10,0.0,0.0,0.0,0.0
6664,United Kingdom,2020-01-11,0.0,0.0,0.0,0.0
6665,United Kingdom,2020-01-12,0.0,0.0,0.0,0.0
6666,United Kingdom,2020-01-13,0.0,0.0,0.0,0.0
6667,United Kingdom,2020-01-14,0.0,0.0,0.0,0.0
6668,United Kingdom,2020-01-15,0.0,0.0,0.0,0.0
6669,United Kingdom,2020-01-16,0.0,0.0,0.0,0.0
6670,United Kingdom,2020-01-17,0.0,0.0,0.0,0.0
6671,United Kingdom,2020-01-18,0.0,0.0,0.0,0.0
6672,United Kingdom,2020-01-19,0.0,0.0,0.0,0.0
6673,United Kingdom,2020-01-01,,,0.0,0.0
6674,United Kingdom,2020-01-02,,,0.0,0.0
6675,United Kingdom,2020-01-03,,,0.0,0.0
