date,confirmed_cases,deaths,stringency_index
1/1/2020,0.0,0.0,0.0
1/2/2020,0.0,0.0,0.0
1/3/2020,0.0,0.0,0.0
1/4/2020,0.0,0.0,0.0
1/5/2020,0.0,0.0,0.0
1/6/2020,0.0,0.0,0.0
1/7/2020,0.0,0.0,0.0
1/8/2020,0.0,0.0,0.0
1/9/2020,0.0,0.0,0.0
1/10/2020,0.0,0.0,0.0
1/11/2020,0.0,0.0,0.0
1/12/2020,0.0,0.0,0.0
1/13/2020,0.0,0.0,0.0
1/14/2020,0.0,0.0,0.0
1/15/2020,0.0,0.0,0.0
1/16/2020,0.0,0.0,0.0
1/17/2020,0.0,0.0,0.0
1/18/2020,0.0,0.0,0.0
1/19/2020,0.0,0.0,0.0
1/20/2020,0.0,0.0,5.56
1/21/2020,0.0,0.0,5.56
1/22/2020,0.0,0.0,5.56
1/23/2020,0.0,0.0,5.56
1/24/2020,0.0,0.0,5.56
1/25/2020,0.0,0.0,5.56
1/26/2020,0.0,0.0,5.56
1/27/2020,0.0,0.0,5.56
1/28/2020,0.0,0.0,5.56
1/29/2020,0.0,0.0,5.56
1/30/2020,0.0,0.0,5.56
1/31/2020,0.0,0.0,8.33
2/1/2020,2.0,0.0,8.33
2/2/2020,2.0,0.0,11.11
2/3/2020,2.0,0.0,11.11
2/4/2020,2.0,0.0,11.11
2/5/2020,3.0,0.0,11.11
2/6/2020,3.0,0.0,11.11
2/7/2020,4.0,0.0,11.11
2/8/2020,4.0,0.0,11.11
2/9/2020,4.0,0.0,11.11
2/10/2020,8.0,0.0,11.11
2/11/2020,9.0,0.0,11.11
2/12/2020,9.0,0.0,11.11
2/13/2020,10.0,0.0,11.11
2/14/2020,10.0,0.0,11.11
2/15/2020,10.0,0.0,11.11
2/16/2020,10.0,0.0,11.11
2/17/2020,10.0,0.0,11.11
2/18/2020,10.0,0.0,11.11
2/19/2020,10.0,0.0,11.11
2/20/2020,10.0,0.0,11.11
2/21/2020,10.0,0.0,11.11
2/22/2020,10.0,0.0,11.11
2/23/2020,11.0,0.0,11.11
2/24/2020,11.0,0.0,11.11
2/25/2020,11.0,0.0,11.11
2/26/2020,13.0,0.0,11.11
2/27/2020,18.0,0.0,11.11
2/28/2020,22.0,0.0,11.11
2/29/2020,30.0,0.0,11.11
3/1/2020,42.0,0.0,11.11
3/2/2020,47.0,0.0,11.11
3/3/2020,69.0,0.0,11.11
3/4/2020,109.0,0.0,11.11
3/5/2020,164.0,0.0,11.11
3/6/2020,545.0,1.0,11.11
3/7/2020,643.0,3.0,11.11
3/8/2020,774.0,4.0,11.11
3/9/2020,958.0,5.0,11.11
3/10/2020,1238.0,10.0,11.11
3/11/2020,1739.0,14.0,11.11
3/12/2020,2413.0,16.0,11.11
3/13/2020,3211.0,19.0,12.04
3/14/2020,4208.0,39.0,12.96
3/15/2020,5094.0,72.0,12.96
3/16/2020,6022.0,108.0,20.37
3/17/2020,7401.0,147.0,23.15
3/18/2020,8998.0,198.0,26.39
3/19/2020,10909.0,278.0,27.41
3/20/2020,13163.0,356.0,36.67
