date,country_code,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2/15/2020,GB,-11.47,-36.62,-11.67,-3.97,2.36
2/16/2020,GB,-8.16,-15.42,-3.88,-1.61,0.56
2/17/2020,GB,10.08,7.07,0.05,-5.08,0.94
2/18/2020,GB,9.32,4.66,-0.45,-3.56,0.71
2/19/2020,GB,6.48,1.21,-0.69,-2.89,0.59
2/20/2020,GB,5.75,0.3,-0.76,-2.53,0.54
2/21/2020,GB,4.33,1.58,-0.22,-2.23,0.42
2/22/2020,GB,-2.74,-0.96,0.08,-0.2,0.04
2/23/2020,GB,-1.66,-0.89,0.44,-0.1,-0.01
2/24/2020,GB,-3.88,-0.93,-0.23,-0.19,0.16
2/25/2020,GB,0.4,0.24,0.06,0.08,0.04
2/26/2020,GB,0.59,0.31,-0.07,0.05,0.04
2/27/2020,GB,2.3,0.33,0.04,0.0,0.05
2/28/2020,GB,-0.64,-1.02,0.03,-0.04,0.07
2/29/2020,GB,2.42,-1.15,-0.1,0.05,0.03
3/1/2020,GB,6.68,0.71,0.35,0.09,-0.04
3/2/2020,GB,4.6,0.71,0.12,0.05,0.01
3/3/2020,GB,3.75,0.54,0.01,0.07,0.01
3/4/2020,GB,1.93,0.06,-0.02,0.04,0.03
3/5/2020,GB,-0.03,0.02,-0.05,0.02,0.04
3/6/2020,GB,4.66,1.21,0.18,0.03,-0.0
3/7/2020,GB,1.44,0.44,0.16,0.08,-0.0
3/8/2020,GB,4.63,0.73,0.2,0.05,-0.02
3/9/2020,GB,0.24,0.21,-0.05,0.01,0.04
3/10/2020,GB,0.49,0.19,-0.08,0.0,0.05
3/11/2020,GB,0.53,0.4,-0.13,-0.01,0.05
3/12/2020,GB,0.31,0.24,-0.18,-0.05,0.06
3/13/2020,GB,-0.97,0.6,-0.15,-0.13,0.08
3/14/2020,GB,-6.06,0.14,-0.33,-0.06,0.07
3/15/2020,GB,-8.14,-0.08,-0.32,-0.13,0.04
3/16/2020,GB,-0.56,0.91,-0.33,-0.25,0.12
3/17/2020,GB,-11.13,0.28,-0.66,-0.47,0.24
3/18/2020,GB,-18.11,-0.08,-0.86,-0.65,0.32
3/19/2020,GB,-17.62,0.12,-0.86,-0.75,0.35
3/20/2020,GB,-25.1,0.34,-0.9,-0.78,0.37
3/21/2020,GB,-45.84,0.32,-1.0,-0.66,0.23
3/22/2020,GB,-53.99,0.67,-0.86,-0.78,0.13
3/23/2020,GB,-42.28,0.17,-1.17,-1.16,0.47
3/24/2020,GB,-69.6,-0.24,-1.51,-1.47,0.62
3/25/2020,GB,-72.49,-0.18,-1.57,-1.59,0.65
3/26/2020,GB,-73.37,-0.14,-1.57,-1.6,0.66
3/27/2020,GB,-75.5,-0.47,-1.57,-1.56,0.65
3/29/2020,GB,-85.48,-1.3,-1.61,-1.27,0.13
3/30/2020,GB,-73.73,-0.65,-1.55,-1.55,0.6
3/31/2020,GB,-73.18,-0.34,-1.48,-1.53,0.6
4/1/2020,GB,-74.91,-0.56,-1.49,-1.5,0.6
4/2/2020,GB,-74.62,-0.43,-1.46,-1.47,0.59
4/3/2020,GB,-75.68,-0.38,-1.4,-1.42,0.58
4/4/2020,GB,-81.28,-0.73,-1.36,-1.14,0.19
4/5/2020,GB,-82.45,-0.59,-1.27,-1.05,0.11
4/6/2020,GB,-72.5,-0.3,-1.3,-1.35,0.52
4/7/2020,GB,-72.56,-0.04,-1.21,-1.33,0.53
4/8/2020,GB,-72.74,-0.18,-1.2,-1.31,0.52
4/9/2020,GB,-69.75,-0.16,-1.16,-1.28,0.51
4/10/2020,GB,-77.75,-0.22,-1.27,-1.46,0.46
4/11/2020,GB,-80.5,-0.61,-1.14,-1.01,0.17
4/12/2020,GB,-89.85,-0.58,-1.12,-1.01,0.1
4/13/2020,GB,-79.0,-0.31,-1.28,-1.44,0.38
4/14/2020,GB,-70.42,-0.08,-1.06,-1.17,0.47
4/15/2020,GB,-71.45,-0.03,-1.03,-1.14,0.48
4/16/2020,GB,-71.69,-0.03,-1.02,-1.12,0.47
4/17/2020,GB,-74.81,-0.42,-1.05,-1.09,0.47
4/18/2020,GB,-80.56,-0.72,-1.04,-0.83,0.17
4/19/2020,GB,-80.13,-0.13,-0.89,-0.75,0.1
4/20/2020,GB,-69.58,0.04,-0.93,-1.01,0.42
4/21/2020,GB,-69.94,0.11,-0.9,-1.0,0.43
4/22/2020,GB,-70.66,0.09,-0.89,-0.98,0.43
4/23/2020,GB,-69.71,0.16,-0.87,-0.97,0.42
4/24/2020,GB,-71.23,0.09,-0.86,-0.94,0.42
4/25/2020,GB,-76.92,-0.22,-0.83,-0.71,0.15
4/26/2020,GB,-78.0,-0.09,-0.76,-0.66,0.09
4/27/2020,GB,-67.41,0.05,-0.81,-0.89,0.38
4/28/2020,GB,-72.17,-0.54,-0.88,-0.9,0.39
4/29/2020,GB,-71.5,-0.35,-0.85,-0.88,0.39
4/30/2020,GB,-72.33,-0.35,-0.83,-0.87,0.39
5/1/2020,GB,-72.67,-0.18,-0.78,-0.84,0.38
5/2/2020,GB,-76.71,-0.12,-0.71,-0.62,0.14
5/3/2020,GB,-78.8,-0.22,-0.69,-0.57,0.08
5/4/2020,GB,-66.97,0.12,-0.71,-0.8,0.34
5/5/2020,GB,-67.7,0.12,-0.7,-0.79,0.34
5/6/2020,GB,-67.45,0.25,-0.66,-0.77,0.34
5/7/2020,GB,-64.49,0.26,-0.65,-0.77,0.33
5/8/2020,GB,-74.24,0.27,-0.75,-0.93,0.33
5/9/2020,GB,-76.44,0.02,-0.64,-0.57,0.13
5/10/2020,GB,-79.68,-0.45,-0.69,-0.52,0.08
5/11/2020,GB,-65.9,-0.03,-0.65,-0.72,0.31
5/12/2020,GB,-65.63,0.16,-0.62,-0.7,0.32
5/13/2020,GB,-66.39,0.15,-0.6,-0.69,0.31
5/14/2020,GB,-64.52,0.38,-0.57,-0.68,0.3
5/15/2020,GB,-66.72,0.37,-0.56,-0.66,0.3
5/16/2020,GB,-72.14,0.21,-0.51,-0.46,0.12
5/17/2020,GB,-72.21,0.39,-0.44,-0.4,0.07
5/18/2020,GB,-60.22,0.41,-0.53,-0.63,0.27
5/19/2020,GB,-60.86,0.52,-0.5,-0.62,0.27
5/20/2020,GB,-61.55,0.66,-0.48,-0.61,0.26
5/21/2020,GB,-61.1,0.52,-0.5,-0.61,0.27
5/22/2020,GB,-64.06,0.26,-0.52,-0.59,0.27
5/23/2020,GB,-70.53,-0.03,-0.51,-0.4,0.11
5/24/2020,GB,-69.18,0.46,-0.38,-0.35,0.06
5/25/2020,GB,-62.0,0.96,-0.49,-0.77,0.24
5/26/2020,GB,-56.34,0.59,-0.44,-0.57,0.24
