date,confirmed_cases,deaths,stringency_index
1/1/2020,0.0,0.0,0.0
1/2/2020,0.0,0.0,0.0
1/3/2020,0.0,0.0,0.0
1/4/2020,0.0,0.0,0.0
1/5/2020,0.0,0.0,0.0
1/6/2020,0.0,0.0,0.0
1/7/2020,0.0,0.0,0.0
1/8/2020,0.0,0.0,0.0
1/9/2020,0.0,0.0,0.0
1/10/2020,0.0,0.0,0.0
1/11/2020,0.0,0.0,0.0
1/12/2020,0.0,0.0,0.0
1/13/2020,0.0,0.0,0.0
1/14/2020,0.0,0.0,0.0
1/15/2020,0.0,0.0,0.0
1/16/2020,0.0,0.0,0.0
1/17/2020,0.0,0.0,0.0
1/18/2020,0.0,0.0,0.0
1/19/2020,0.0,0.0,0.0
1/20/2020,0.0,0.0,0.0
1/21/2020,0.5,0.0,0.0
1/22/2020,1.0,0.0,0.55
1/23/2020,1.0,0.0,0.66
1/24/2020,1.5,0.0,1.02
1/25/2020,2.0,0.0,1.02
1/26/2020,3.5,0.0,1.13
1/27/2020,5.0,0.0,1.44
1/28/2020,5.0,0.0,1.76
1/29/2020,5.0,0.0,2.02
1/30/2020,5.0,0.0,2.12
1/31/2020,6.5,0.0,2.39
2/1/2020,7.5,0.0,2.39
2/2/2020,8.0,0.0,7.89
2/3/2020,11.0,0.0,7.99
2/4/2020,11.0,0.0,7.99
2/5/2020,11.0,0.0,8.15
2/6/2020,11.5,0.0,8.15
2/7/2020,11.5,0.0,8.26
2/8/2020,11.5,0.0,8.26
2/9/2020,11.5,0.0,8.31
2/10/2020,11.5,0.0,8.41
2/11/2020,12.5,0.0,8.41
2/12/2020,12.5,0.0,8.41
2/13/2020,13.5,0.0,8.41
2/14/2020,14.0,0.0,8.41
2/15/2020,14.0,0.0,8.41
2/16/2020,14.0,0.0,8.41
2/17/2020,14.0,0.0,8.41
2/18/2020,14.0,0.0,8.41
2/19/2020,14.0,0.0,8.41
2/20/2020,14.0,0.0,8.41
2/21/2020,15.5,0.0,8.62
2/22/2020,25.0,0.0,8.62
2/23/2020,25.0,0.0,8.62
2/24/2020,25.0,0.0,8.73
2/25/2020,34.0,0.0,8.99
2/26/2020,34.0,0.0,9.41
2/27/2020,37.5,0.0,9.93
2/28/2020,38.0,0.0,10.14
2/29/2020,45.0,0.5,10.25
3/1/2020,49.5,1.0,10.51
3/2/2020,70.5,4.0,13.7
3/3/2020,87.5,6.5,13.81
3/4/2020,114.0,10.0,14.46
3/5/2020,165.5,11.5,15.26
3/6/2020,224.0,13.0,15.26
3/7/2020,337.5,15.5,15.64
3/8/2020,441.5,19.0,15.8
3/9/2020,534.5,21.5,16.34
3/10/2020,733.5,27.0,17.08
3/11/2020,1065.0,30.5,18.91
3/12/2020,1421.0,36.5,26.68
3/13/2020,1889.0,45.5,33.55
3/14/2020,2494.0,52.5,33.94
3/15/2020,2968.5,63.5,37.19
3/16/2020,4050.0,83.0,49.61
3/17/2020,5277.5,108.5,53.9
3/18/2020,7367.5,149.5,55.67
3/19/2020,11001.5,207.0,58.23
3/20/2020,16443.0,256.5,59.43
3/21/2020,22012.0,360.5,60.72
